nome,nascimento
Machado de Assis,1839-06-21
Antoine de Saint-Exupéry,1900-06-29
Jorge Amado,1912-08-10
Clarice Lispector,1920-12-10
Guimarães Rosa,1908-06-27
Graciliano Ramos,1892-10-27
Paulo Coelho,1947-08-24
José de Alencar,1829-05-01

titulo,ano,autor_nome
Dom Casmurro,1899,Machado de Assis
Memórias Póstumas de Brás Cubas,1881,Machado de Assis
O Pequeno Príncipe,1943,Antoine de Saint-Exupéry
Capitães da Areia,1937,Jorge Amado
A Hora da Estrela,1977,Clarice Lispector
Grande Sertão: Veredas,1956,Guimarães Rosa
Vidas Secas,1938,Graciliano Ramos
O Alquimista,1988,Paulo Coelho
Senhora,1875,José de Alencar
Iracema,1865,José de Alencar
